;NAME;JOBREF;CORRSTARTTIME;CORRSTOPTIME;QTYGOOD;CORRSTARTDATE;CORRSTOPDATE
567;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;529562;47301;54505;80.0;2018-08-06;2018-08-06
568;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;529641;27669;36327;47.0;2018-08-07;2018-08-07
569;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;530825;31766;35212;39.0;2018-08-09;2018-08-09
570;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530318;45811;49500;46.0;2018-08-10;2018-08-10
571;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530317;25766;30022;32.0;2018-08-13;2018-08-13
572;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530560;47914;51496;46.0;2018-08-13;2018-08-13
573;SW56-1 : 1130 x 550 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530828;25735;31540;62.0;2018-08-14;2018-08-14
574;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;41690;41947;7.0;2018-08-14;2018-08-14
575;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;41690;41947;7.0;2018-08-14;2018-08-14
576;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;41690;41947;7.0;2018-08-14;2018-08-14
577;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;41690;41947;7.0;2018-08-14;2018-08-14
578;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;43010;43139;1.0;2018-08-14;2018-08-14
579;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;43010;43139;1.0;2018-08-14;2018-08-14
580;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;43010;43139;1.0;2018-08-14;2018-08-14
581;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530143;43010;43139;1.0;2018-08-14;2018-08-14
582;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530240;25989;34948;48.0;2018-08-15;2018-08-15
583;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530241;34948;36924;21.0;2018-08-15;2018-08-15
584;SW56-1 : 1130 x 550 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530035;36924;55800;192.0;2018-08-15;2018-08-15
585;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;529211;25497;49786;80.0;2018-08-16;2018-08-16
586;CF56SM : 925 x 576 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;530707;26215;28568;24.0;2018-08-17;2018-08-17
587;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530949;41429;49500;0.0;2018-08-17;2018-08-17
588;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530949;18456;23932;64.0;2018-08-20;2018-08-20
589;SW56-1 : 1375 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530706;28686;37226;48.0;2018-08-20;2018-08-20
590;CF56SM : 925 x 576 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;530707;37226;39691;0.0;2018-08-20;2018-08-20
591;CF56SM : 925 x 576 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;530707;37226;39691;24.0;2018-08-20;2018-08-20
592;CF56SM : 925 x 576 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;530707;37226;39691;0.0;2018-08-20;2018-08-20
593;CF56SM : 925 x 576 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;530707;37226;39691;24.0;2018-08-20;2018-08-20
594;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530703;49508;55055;64.0;2018-08-20;2018-08-20
595;SW56-1 : 1375 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530630;50173;52471;32.0;2018-08-21;2018-08-21
596;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530629;52471;55800;24.0;2018-08-21;2018-08-21
597;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531217;39348;54034;132.0;2018-08-22;2018-08-22
598;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531107;54034;54069;0.0;2018-08-22;2018-08-22
599;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531107;54112;55800;30.0;2018-08-22;2018-08-22
600;CF56S : 1375 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;529710;25550;31125;26.0;2018-08-23;2018-08-23
601;CF56S : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;529654;31125;36686;45.0;2018-08-23;2018-08-23
602;CF56S : 1130 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;529652;36686;40556;45.0;2018-08-23;2018-08-23
603;CF56S : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;529653;40556;47519;45.0;2018-08-23;2018-08-23
604;BD30 : 1375 x 676 : H/H : 190M : ST1 : 3D/4F/4B/12T : SA;530788;47519;52513;46.0;2018-08-23;2018-08-23
605;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;529288;52513;55800;45.0;2018-08-23;2018-08-23
606;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530138;25438;28963;31.0;2018-08-24;2018-08-24
607;SW56-1 : 1375 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530339;45687;48148;20.0;2018-08-24;2018-08-24
608;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530705;31861;37702;48.0;2018-08-27;2018-08-27
609;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530338;37702;43207;48.0;2018-08-27;2018-08-27
610;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;530674;43207;54999;82.0;2018-08-27;2018-08-27
611;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530138;26099;32351;65.0;2018-08-28;2018-08-28
612;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530138;26099;32351;65.0;2018-08-28;2018-08-28
